AcX,AcY,AcZ,HR,Magnitude,SPO2,Temp,docId
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293251051
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293252052
"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0",4293253054
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293254059
"0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0,0,0",4293255060
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293256065
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293257067
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293258074
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293259080
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293260086
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293261086
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293262091
"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0",4293263099
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293264109
"0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0,0",4293265112
"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0",4293266116
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293267121
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293268130
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293269130
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293270135
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293271141
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293272150
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293273156
"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0",4293274165
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293275167
"0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0,0,0",4293276167
"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0",4293277170
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293278179
"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0",4293279182
"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0",4293280190
"0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","93,93,93,93,93","0,0,0,0,0","80,80,80,80,80","0,0,0,0,0",4293281198
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293282204
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293283213
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293284214
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293285217
"0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0,0",4293286220
"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0",4293287229
"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0",4293288235
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293289239
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293290240
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293291248
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293292254
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293293257
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293294267
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293295269
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293296275
"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0",4293297278
"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0",4293298284
"0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0,0",4293299290
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293300294
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293301298
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293302302
"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0",4293303308
"0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0,0,0,0",4293304312
"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","93,93,93,93,93,93","0,0,0,0,0,0","80,80,80,80,80,80","0,0,0,0,0,0",4293305320
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293306329
"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0",4293307336
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293308345
"0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0,0",4293309349
"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0",4293310356
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293311358
"0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","93,93,93,93,93","0,0,0,0,0","80,80,80,80,80","0,0,0,0,0",4293312365
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293313374
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293314381
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293315393
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293316396
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293317403
"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0",4293318417
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293319420
"0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0,0,0",4293320427
"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0",4293321430
"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0",4293322436
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293323441
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293324442
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293325450
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293326456
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293327460
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293328460
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293329468
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293330476
"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0",4293331482
"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0",4293332484
"0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0,0",4293333490
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293334498
"0,0,0,0,0,0,0","0,0,0,0,0,0,0","0,0,0,0,0,0,0","93,93,93,93,93,93,93","0,0,0,0,0,0,0","80,80,80,80,80,80,80","0,0,0,0,0,0,0",4293335510
"0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0,0,0",4293336515
0,0,0,93,0,80,0,4293337517
"0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0,0",4293338542
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293339545
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293340550
"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0",4293341550
"0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0,0",4293342555
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293343556
"0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0,0",4293344563
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293345570
"0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","93,93,93,93,93","0,0,0,0,0","80,80,80,80,80","0,0,0,0,0",4293346575
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293347575
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293348583
